Index,True Label,Predicted Label
0,fear,none
1,anger,joy
2,joy,none
3,none,none
4,fear,fear
5,fear,anger
6,none,none
7,none,none
8,joy,joy
9,love,love
10,fear,fear
11,love,love
12,sadness,none
13,anger,anger
14,sadness,sadness
15,love,love
16,fear,surprise
17,surprise,surprise
18,anger,anger
19,sympathy,sadness
20,anger,none
21,sadness,none
22,fear,love
23,joy,none
24,none,none
25,anger,anger
26,none,none
27,sadness,sadness
28,none,none
29,anger,none
30,none,none
31,joy,love
32,sympathy,sympathy
33,fear,fear
34,surprise,surprise
35,sympathy,sympathy
36,sympathy,joy
37,none,none
38,fear,fear
39,sympathy,sympathy
40,sadness,joy
41,sympathy,sympathy
42,none,none
43,joy,joy
44,love,love
45,joy,none
46,none,none
47,none,none
48,none,none
49,love,love
50,fear,fear
51,fear,fear
52,sympathy,sympathy
53,none,none
54,love,love
55,anger,none
56,sadness,none
57,none,none
58,fear,fear
59,love,love
60,anger,sadness
61,none,none
62,joy,none
63,anger,anger
64,none,none
65,joy,joy
66,anger,anger
67,surprise,none
68,surprise,anger
69,fear,fear
70,fear,fear
71,joy,joy
72,none,none
73,sympathy,sympathy
74,none,joy
75,fear,fear
76,love,joy
77,sadness,none
78,sadness,love
79,love,joy
80,joy,fear
81,joy,sadness
82,none,joy
83,none,none
84,surprise,surprise
85,fear,fear
86,none,sadness
87,anger,anger
88,joy,joy
89,none,surprise
90,anger,sadness
91,fear,fear
92,love,love
93,love,love
94,none,none
95,joy,none
96,none,anger
97,joy,sympathy
98,none,none
99,anger,anger
100,none,joy
101,sadness,joy
102,anger,sadness
103,sympathy,sympathy
104,fear,fear
105,joy,anger
106,anger,anger
107,sympathy,anger
108,love,love
109,surprise,none
110,sadness,sadness
111,sympathy,sympathy
112,none,surprise
113,sadness,sadness
114,anger,anger
115,sadness,sympathy
116,surprise,joy
117,love,love
118,none,none
119,sadness,sadness
120,love,love
121,love,love
122,none,none
123,sympathy,sympathy
124,sadness,sadness
125,joy,joy
126,fear,fear
127,sadness,surprise
128,sympathy,love
129,joy,none
130,fear,fear
131,love,sadness
132,none,none
133,anger,none
134,surprise,surprise
135,surprise,surprise
136,anger,anger
137,love,love
138,joy,love
139,anger,anger
140,none,none
141,joy,none
142,love,joy
143,fear,fear
144,sadness,fear
145,anger,anger
146,none,none
147,anger,none
148,none,none
149,surprise,anger
150,sympathy,sympathy
151,joy,joy
152,fear,fear
153,sadness,anger
154,surprise,none
155,anger,anger
156,anger,anger
157,sadness,sadness
158,surprise,surprise
159,none,surprise
160,fear,fear
161,joy,sadness
162,anger,sadness
163,sadness,sadness
164,fear,fear
165,sadness,none
166,anger,anger
167,anger,anger
168,love,love
169,joy,anger
170,surprise,fear
171,love,joy
172,love,sympathy
173,sympathy,sympathy
174,none,none
175,love,love
176,sympathy,sympathy
177,love,love
178,none,sadness
179,surprise,none
180,fear,none
181,love,fear
182,sadness,love
183,joy,love
184,sadness,anger
185,love,love
186,sympathy,sympathy
187,sympathy,fear
188,joy,joy
189,joy,none
190,surprise,sadness
191,joy,joy
192,fear,fear
193,sadness,sadness
194,anger,anger
195,joy,none
196,sadness,none
197,none,none
198,joy,love
199,sadness,sadness
200,fear,fear
201,anger,anger
202,sympathy,sympathy
203,love,joy
204,none,none
205,joy,love
206,sadness,anger
207,sadness,none
208,none,sadness
209,surprise,none
210,joy,joy
211,surprise,fear
212,anger,anger
213,joy,sympathy
214,joy,joy
215,none,none
216,sympathy,sympathy
217,love,love
218,joy,none
219,fear,fear
220,sympathy,sympathy
221,joy,joy
222,joy,none
223,sadness,love
224,anger,sympathy
225,love,love
226,joy,anger
227,none,none
228,anger,anger
229,none,none
230,love,love
231,surprise,surprise
232,none,joy
233,surprise,anger
234,sympathy,sympathy
235,anger,anger
236,fear,fear
237,sympathy,sympathy
238,surprise,surprise
239,anger,none
240,joy,joy
241,sympathy,sympathy
242,fear,fear
243,love,love
244,sadness,fear
245,joy,none
246,joy,joy
247,anger,none
248,surprise,surprise
249,anger,anger
250,love,joy
251,joy,joy
252,fear,fear
253,sympathy,sympathy
254,sadness,none
255,joy,joy
256,surprise,surprise
257,sadness,sadness
258,anger,anger
259,none,anger
260,joy,none
261,fear,fear
262,surprise,surprise
263,joy,love
264,joy,fear
265,none,none
266,sympathy,sympathy
267,joy,joy
268,anger,love
